Date,Time,Steps
12-12-2017,11:39:51,0
12-12-2017,11:40:00,7
12-12-2017,11:40:02,9
12-12-2017,11:40:03,10
12-12-2017,11:40:05,11
12-12-2017,11:40:09,18
12-12-2017,11:40:19,31
12-12-2017,11:40:49,32
12-12-2017,11:40:50,78
12-12-2017,11:40:51,79
12-12-2017,11:42:05,86
12-12-2017,11:42:06,87
12-12-2017,11:42:07,88
12-12-2017,11:42:08,89
12-12-2017,11:42:09,90
12-12-2017,11:42:10,91
12-12-2017,11:42:11,92
12-12-2017,11:42:13,93
12-12-2017,11:42:35,100
12-12-2017,11:42:36,101
12-12-2017,11:42:38,102
12-12-2017,11:43:41,109
12-12-2017,11:43:53,149
12-12-2017,11:44:13,156
12-12-2017,11:44:30,163
12-12-2017,11:45:48,170
12-12-2017,11:45:50,172
12-13-2017,12:07:03,172
12-13-2017,12:09:02,172
12-13-2017,12:10:25,172
12-13-2017,12:12:26,179
12-13-2017,12:12:27,180
12-13-2017,12:12:28,182
12-13-2017,12:12:29,184
12-13-2017,12:12:30,187
12-13-2017,12:12:31,189
12-13-2017,12:12:32,191
12-13-2017,12:12:33,193
12-13-2017,12:12:34,195
12-13-2017,12:12:43,196
12-13-2017,12:12:44,212
12-13-2017,12:13:02,240
12-13-2017,12:13:03,241
12-13-2017,12:13:04,243
12-13-2017,12:13:05,245
12-13-2017,12:13:06,247
12-13-2017,12:13:07,249
12-13-2017,12:13:08,251
12-13-2017,12:14:02,252
12-13-2017,12:14:02,354
12-13-2017,12:14:03,356
12-13-2017,12:14:04,358
12-13-2017,12:14:05,360
12-13-2017,12:14:06,362
12-13-2017,12:14:07,364
12-13-2017,12:14:08,366
12-13-2017,12:14:09,368
12-13-2017,12:14:10,370
12-13-2017,12:14:11,372
12-13-2017,12:14:12,374
12-13-2017,12:14:13,376
12-13-2017,12:14:14,378
12-13-2017,12:14:15,380
12-13-2017,12:14:16,382
12-13-2017,12:14:17,384
12-13-2017,12:16:04,385
12-13-2017,12:16:04,594
12-13-2017,12:16:05,596
12-13-2017,12:16:06,598
12-13-2017,12:17:15,599
12-13-2017,12:17:15,715
12-13-2017,12:17:16,740
12-13-2017,12:17:17,742
12-13-2017,12:17:18,744
12-13-2017,12:17:19,746
12-13-2017,12:17:20,748
12-13-2017,12:17:21,750
12-13-2017,12:17:22,752
12-13-2017,12:17:24,755
12-13-2017,12:17:25,757
12-13-2017,12:18:10,758
12-13-2017,12:18:11,852
12-13-2017,12:18:12,854
12-13-2017,12:18:13,856
12-13-2017,12:18:25,857
12-13-2017,12:18:25,879
12-13-2017,12:18:26,883
12-13-2017,12:18:27,886
12-13-2017,12:18:44,928
12-13-2017,12:18:46,930
12-13-2017,12:19:17,932
12-13-2017,12:19:17,991
12-13-2017,12:19:17,994
12-13-2017,12:19:18,996
12-13-2017,12:19:19,999
12-13-2017,12:19:20,1001
12-13-2017,12:19:21,1003
12-13-2017,12:19:22,1005
12-13-2017,12:19:23,1007
12-13-2017,12:19:24,1009
12-13-2017,12:19:25,1011
12-13-2017,12:19:26,1013
12-13-2017,12:19:27,1015
12-13-2017,12:19:28,1017
12-13-2017,12:19:29,1019
12-13-2017,12:19:35,1020
12-13-2017,12:19:36,1032
12-13-2017,12:19:37,1033
12-13-2017,12:19:54,1041
12-13-2017,12:19:55,1042
12-13-2017,12:20:08,1044
12-13-2017,12:20:18,1051
12-13-2017,12:20:19,1052
12-13-2017,12:20:34,1060
12-13-2017,12:20:35,1061
12-13-2017,12:20:36,1063
12-13-2017,12:20:37,1064
12-13-2017,12:20:39,1066
12-13-2017,12:20:40,1067
12-13-2017,12:20:41,1069
12-13-2017,12:20:42,1071
12-13-2017,12:20:43,1072
12-13-2017,12:20:44,1073
12-13-2017,12:21:05,1082
12-13-2017,12:22:00,1131
12-13-2017,12:22:01,1133
12-13-2017,12:22:02,1135
12-13-2017,12:22:03,1137
12-13-2017,12:22:04,1139
12-13-2017,12:22:05,1140
12-13-2017,12:22:20,1142
12-13-2017,12:22:24,1149
